,hotel_star,hotel_address,reviews_count,quality
66,4,40blackfriarsroadsouthwarklondonse18pbunitedkingdom,"1,562 reviews",Excellent 
67,4,4norwichstreetcityoflondonlondonec4a1drunitedkingdom,301 reviews,Excellent 
68,4,292vauxhallbridgeroadlondonsw1v1aewestminsterboroughlondonsw1v1aeunitedkingdom,887 reviews,Excellent 
69,4,350oxfordstreetwestminsterboroughlondonw1c1byunitedkingdom,"2,997 reviews",Very Good 
70,4,75gowerstreetcamdenlondonwc1e6hjunitedkingdom,"1,643 reviews",Pleasant 
71,4,newcavendishstreetwestminsterboroughlondonw1w6ysunitedkingdom,144 reviews,Very Good 
72,4,1neathouseplacewestminsterboroughlondonsw1v1lhunitedkingdom,,
73,4,239vauxhallbridgeroadwestminsterboroughlondonsw1v1equnitedkingdom,"3,045 reviews",Very Good 
75,4,284to302waterlooroadsouthwarklondonse18rqunitedkingdom,"4,753 reviews",Very Good 
76,4,174tottenhamcourtroadcamdenlondonw1t7ntunitedkingdom,419 reviews,Very Good 
77,4,1011albertembankmentlambethlondonse17tpunitedkingdom,985 reviews,Excellent 
78,4,3851bedfordwaycamdenlondonwc1h0dgunitedkingdom,121 reviews,Very Good 
79,4,101buckinghampalaceroadwestminsterboroughlondonsw1w0sjunitedkingdom,"3,583 reviews",Excellent 
80,4,7284lambsconduitstreetcamdenlondonwc1n3ltunitedkingdom,805 reviews,Very Good 
81,4,18albertembankmentlambethlondonse17tjunitedkingdom,"8,662 reviews",Very Good 
83,4,2bridgeplacevictoriawestminsterboroughlondonsw1v1qaunitedkingdom,"2,431 reviews",Good 
84,4,coramstreetcamdenlondonwc1n1htunitedkingdom,"2,151 reviews",Good 
85,4,28eburystreetwestminsterboroughlondonsw1w0luunitedkingdom,"1,237 reviews",Very Good 
86,4,100vauxhallwalklambethlondonse115alunitedkingdom,851 reviews,Excellent 
87,4,2028bolsoverstreetwestminsterboroughlondonw1w5nbunitedkingdom,"2,668 reviews",Good 
88,4,84hattongardencamdenlondonec1n8jrunitedkingdom,893 reviews,Very Good 
89,4,mandevilleplacewestminsterboroughlondonw1u2beunitedkingdom,"2,271 reviews",Very Good 
90,4,24ludgatehillcityoflondonlondonec4m7drunitedkingdom,"3,631 reviews",Good 
91,4,carburtonstreetwestminsterboroughlondonw1w5eeunitedkingdom,"3,015 reviews",Good 
92,4,35ludgatehillstpaulscityoflondonlondonec4m7aaunitedkingdom,126 reviews,Very Good 
93,4,7179southwarkstreetsouthwarklondonse10jaunitedkingdom,863 reviews,Very Good 
94,4,130tottenhamcourtroadcamdenlondonw1t5ayunitedkingdom,"2,950 reviews",Good 
95,4,20lavingtonstreetsouthwarklondonse10nzunitedkingdom,"2,647 reviews",Excellent 
96,4,8086belgraveroadwestminsterboroughlondonsw1v2bjunitedkingdom,"3,332 reviews",Excellent 
97,4,10godlimanstreetcityoflondonlondonec4v5ajunitedkingdom,"2,466 reviews",Very Good 
98,4,124clerkenwellrdcamdenlondonec1r5djunitedkingdom,749 reviews,Good 
99,4,1925granvilleplacemarblearchwestminsterboroughlondonw1h6paunitedkingdom,"1,430 reviews",Good 
100,4,25gloucesterstreetwestminsterboroughlondonsw1v2dbunitedkingdom,"1,213 reviews",Good 
101,4,georgestreetwestminsterboroughlondonw1h5bjunitedkingdom,616 reviews,Very Good 
102,4,20roseberyavenueislingtonlondonec1r4sxunitedkingdom,277 reviews,Excellent 
103,4,1718upperwoburnplacecamdenlondonwc1h0htunitedkingdom,"1,593 reviews",Good 
104,4,12upperwoburnplacecamdenlondonwc1h0hxunitedkingdom,"1,286 reviews",Pleasant 
105,4,23mecklenburghsquarecamdenlondonwc1n2adunitedkingdom,693 reviews,Very Good 
106,4,bryanstonstreetmarblearchwestminsterboroughlondonw1h7ehunitedkingdom,"4,037 reviews",Good 
107,4,37ecclestonsquarewestminsterboroughlondonsw1v1pbunitedkingdom,373 reviews,Very Good 
108,4,2brokenwharfbrokenquayhousecityoflondonlondonec4v3dtunitedkingdom,"1,012 reviews",Excellent 
109,4,3539stgeorgesdrivewestminsterboroughlondonsw1v4dgunitedkingdom,625 reviews,Good 
110,4,12beargardenssouthwarklondonse19edunitedkingdom,"2,284 reviews",Wonderful 
111,4,135137eburystreetwestminsterboroughlondonsw1w9quunitedkingdom,267 reviews,Wonderful 
112,4,812manchesterstreetwestminsterboroughlondonw1u4dgunitedkingdom,409 reviews,Very Good 
115,4,albanystreetlondonnw13upunitedkingdom,"1,491 reviews",Good 
116,4,15seymourstreetwestminsterboroughlondonw1h7jwunitedkingdom,892 reviews,Good 
117,4,albanystreetregentsparklondonnw13upunitedkingdom,68 reviews,Pleasant 
118,4,ec1r3gbislingtonlondonec1r3gbunitedkingdom,1 review,Exceptional 
120,4,4bryanstonstmarblearchwestminsterboroughlondonw1h7byunitedkingdom,513 reviews,Good 
121,4,17cheshamplacekensingtonandchelsealondonsw1x8hjunitedkingdom,14 reviews,Wonderful 
122,4,142to144warwickwayvictoriawestminsterboroughlondonsw1v4jeunitedkingdom,913 reviews,Excellent 
123,4,greatcumberlandplacewestminsterboroughlondonw1h7dlunitedkingdom,"4,095 reviews",Very Good 
124,4,2830seymourstreetwestminsterboroughlondonw1h7jbunitedkingdom,194 reviews,Excellent 
125,4,albanystreetregentsparkcamdenlondonnw13upunitedkingdom,80 reviews,Good 
126,4,96100clerkenwellroadislingtonlondonec1m5rjunitedkingdom,"3,318 reviews",Very Good 
127,4,1kingscrossroadislingtonlondonwc1x9hxunitedkingdom,"2,631 reviews",Good 
128,4,8688clerkenwellroadislingtonlondonec1m5rjunitedkingdom,565 reviews,Very Good 
129,4,17nottinghamplacewestminsterboroughlondonw1u5lgunitedkingdom,589 reviews,Very Good 
130,4,100110eustonroadcamdenlondonnw12ajunitedkingdom,"3,071 reviews",Very Good 
132,4,1821charterhousesquareislingtonlondonec1m6ahunitedkingdom,"1,023 reviews",Very Good 
133,4,1725sloanestreetknightsbridgekensingtonandchelsealondonsw1x9nuunitedkingdom,"2,549 reviews",Pleasant 
134,4,46cannonstreetlondoncityoflondonlondonec4n6jjunitedkingdom,"1,115 reviews",Wonderful 
136,4,41greatcumberlandplacewestminsterboroughlondonw1h7lgunitedkingdom,548 reviews,Pleasant 
137,4,1618argylesquarecamdenlondonwc1h8asunitedkingdom,"1,329 reviews",Very Good 
138,4,54upperberkeleystreetwestminsterboroughlondonw1h7qrunitedkingdom,460 reviews,Good 
139,4,83chilternstreetwestminsterboroughlondonw1u6nfunitedkingdom,"1,408 reviews",Excellent 
140,4,saintgeorgewharflambethlondonsw82azunitedkingdom,19 reviews,Exceptional 
141,4,80chilternstbakerstreetwestminsterboroughlondonw1u5afunitedkingdom,"1,132 reviews",Good 
142,4,82gloucesterplacewestminsterboroughlondonw1u6hnunitedkingdom,"1,527 reviews",Good 
143,4,2montaguplacewestminsterboroughlondonw1h2erunitedkingdom,437 reviews,Very Good 
144,4,sloanesquarekensingtonandchelsealondonsw1w8egunitedkingdom,"1,262 reviews",Good 
145,4,3sloanegardenskensingtonandchelsealondonsw1w8eaunitedkingdom,135 reviews,Wonderful 
146,4,721goswellroadislingtonlondonec1m7ahunitedkingdom,"1,387 reviews",Very Good 
147,4,134georgestreetwestminsterboroughlondonw1h5dnunitedkingdom,900 reviews,Good 
148,4,26crawfordstreetwestminsterboroughlondonw1h1llunitedkingdom,2 reviews,Pleasant 
149,4,818londonbridgestsouthwarklondonse19sgunitedkingdom,"1,597 reviews",Excellent 
150,4,33beaufortgardenskensingtonandchelsealondonsw31ppunitedkingdom,"1,235 reviews",Good 
