,hotel_star,hotel_address,reviews_count,quality
66,4,albertcuypstraat26oudzuid1072ctamsterdamnetherlands,560 reviews,Very Good 
67,4,annavandenvondelstraat6oudwest1054gzamsterdamnetherlands,69 reviews,Wonderful 
68,4,javakade766zeeburg1019shamsterdamnetherlands,"5,375 reviews",Excellent 
69,4,oostenburgergracht73amsterdamcitycenter1018ncamsterdamnetherlands,931 reviews,Very Good 
70,4,chassestraat6264debaarsjes1057jjamsterdamnetherlands,"2,217 reviews",Excellent 
71,4,asterweg2737amsterdamnoord1031hmamsterdamnetherlands,"5,817 reviews",Very Good 
72,4,delairessestraat7oudzuid1071nramsterdamnetherlands,"1,328 reviews",Excellent 
73,4,pontsteiger343westerpark1014zpamsterdamnetherlands,"1,524 reviews",Good 
74,4,vockade600amsterdamcitycenter1018lgamsterdamnetherlands,"6,601 reviews",Very Good 
75,4,roelofhartstraat1oudzuid1071veamsterdamnetherlands,925 reviews,Very Good 
76,4,jacobobrechtstraat69oudzuid1071kjamsterdamnetherlands,444 reviews,Wonderful 
77,4,wibautstraat129oost1091glamsterdamnetherlands,"3,802 reviews",Very Good 
78,4,500revaleilandwesterpark1014zgamsterdamnetherlands,"1,407 reviews",Wonderful 
79,4,distelkade21amsterdamnoord1031xpamsterdamnetherlands,844 reviews,Very Good 
80,4,apollolaan101105oudzuid1077anamsterdamnetherlands,837 reviews,Very Good 
81,4,linnaeusstraat89oost1093ekamsterdamnetherlands,"2,053 reviews",Very Good 
83,4,apollolaan2oudzuid1077baamsterdamnetherlands,"1,118 reviews",Very Good 
84,4,spaarndammerdijk304westerpark1013zxamsterdamnetherlands,718 reviews,Very Good 
85,4,apollolaan123125oudzuid1077apamsterdamnetherlands,938 reviews,Excellent 
86,4,panamalaan188196zeeburg1019azamsterdamnetherlands,"2,698 reviews",Very Good 
87,4,58ringdijkoost1097ahamsterdamnetherlands,72 reviews,Excellent 
88,4,ndsmplein28amsterdamnoord1033wbamsterdamnetherlands,"1,627 reviews",Very Good 
89,4,leeuwendalersweg21bosenlommer1055jeamsterdamnetherlands,"4,346 reviews",Good 
90,4,bosenlommerplantsoen45abosenlommer1055aaamsterdamnetherlands,"3,040 reviews",Very Good 
92,4,molenwerf1sloterdijk1014agamsterdamnetherlands,"6,767 reviews",Very Good 
93,4,danzigerkade175westpoort1013apamsterdamnetherlands,"1,490 reviews",Very Good 
94,4,danzigerkade177westpoort1013apamsterdamnetherlands,663 reviews,Very Good 
95,4,prinsesirenestraat30zuideramstel1077wxamsterdamnetherlands,"2,100 reviews",Excellent 
97,4,hendrikjestoffelstraat1slotervaart1058gcamsterdamnetherlands,"2,685 reviews",Very Good 
98,4,fizeaustraat2oost1097scamsterdamnetherlands,"2,532 reviews",Excellent 
99,4,europaboulevard2bzuideramstel1078rvamsterdamnetherlands,"5,745 reviews",Wonderful 
101,4,cruquiusweg61zeeburg1019ajamsterdamnetherlands,"4,568 reviews",Very Good 
102,4,laguardiaweg59westpoort1043deamsterdamnetherlands,"12,801 reviews",Good 
103,4,40eduardvanbeinumstraatzuideramstel1077xzamsterdamnetherlands,"2,686 reviews",Very Good 
104,4,tommasoalbinonistraat200zuideramstel1083hmamsterdamnetherlands,"1,751 reviews",Excellent 
105,4,260stadionpleinoudzuid1076ckamsterdamnetherlands,493 reviews,Wonderful 
106,4,termini9amsterdamnoord1022lbamsterdamnetherlands,"2,128 reviews",Excellent 
107,4,termini11amsterdamnoord1022lbamsterdamnetherlands,"1,166 reviews",Excellent 
108,4,arlandaweg10westpoort1043ewamsterdamnetherlands,"4,261 reviews",Very Good 
109,4,naritaweg3westpoort1043bpamsterdamnetherlands,304 reviews,Excellent 
110,4,delflandlaan15slotervaart1062eaamsterdamnetherlands,"5,269 reviews",Very Good 
111,4,amstelvlietstraat4oost1096ggamsterdamnetherlands,"2,110 reviews",Excellent 
112,4,376parnassuswegzuideramstel1081lcamsterdamnetherlands,666 reviews,Excellent 
113,4,georgegershwinlaan101zuideramstel1082mtamsterdamnetherlands,722 reviews,Very Good 
114,4,naritaweg1westpoort1043bpamsterdamnetherlands,"3,604 reviews",Very Good 
115,4,europaboulevard10zuideramstel1083adamsterdamnetherlands,"3,765 reviews",Very Good 
116,4,joanmuyskenweg10oost1096cjamsterdamnetherlands,"2,394 reviews",Very Good 
117,4,12ijsbaanpadoudzuid1076cvamsterdamnetherlands,"8,251 reviews",Very Good 
118,4,20joanmuyskenwegoost1096cjamsterdamnetherlands,"4,704 reviews",Excellent 
119,4,arendjanszoonernststraat577zuideramstel1082ldamsterdamnetherlands,704 reviews,Excellent 
120,4,paulvanvlissingenstraatoost1096bkamsterdamnetherlands,"7,379 reviews",Very Good 
121,4,paulvanvlissingenstraat24oost1096bkamsterdamnetherlands,"5,010 reviews",Very Good 
123,4,vanleijenberghlaan221zuideramstel1082ggamsterdamnetherlands,989 reviews,Very Good 
124,4,johnmkeynesplein2slotervaart1066epamsterdamnetherlands,886 reviews,Good 
125,4,oudehaagseweg20slotervaart1066bwamsterdamnetherlands,"1,439 reviews",Good 
126,4,ijburglaan5391087beamsterdamnetherlands,"3,557 reviews",Good 
127,4,diemerhof20a1112xnamsterdamnetherlands,"1,285 reviews",Very Good 
129,4,tomschreursweg40geuzenveldslotermeer1076hramsterdamnetherlands,"1,008 reviews",Very Good 
130,4,hoogoorddreef66zuidoost1101beamsterdamnetherlands,"1,940 reviews",Good 
131,4,hoogoorddreef1zuidoost1101baamsterdamnetherlands,"1,384 reviews",Very Good 
132,4,berthaanstrakade1074hoekkrijntaconiskade1087hjamsterdamnetherlands,"3,975 reviews",Very Good 
133,4,karspeldreef2zuidoost1101cjamsterdamnetherlands,"5,543 reviews",Good 
134,4,schepenbergweg50zuidoost1105atamsterdamnetherlands,"2,619 reviews",Good 
135,5,27damamsterdamcitycenter1012jsamsterdamnetherlands,174 reviews,Exceptional 
137,5,spuistraat175amsterdamcitycenter1012vnamsterdamnetherlands,393 reviews,Very Good 
138,5,oudezijdsvoorburgwal197amsterdamcitycenter1012examsterdamnetherlands,681 reviews,Wonderful 
139,5,nieuwezijdsvoorburgwal5amsterdamcitycenter1012rcamsterdamnetherlands,"2,312 reviews",Excellent 
140,5,nieuwedoelenstraat24amsterdamcitycenter1012cpamsterdamnetherlands,"1,094 reviews",Excellent 
141,5,kattengat1amsterdamcitycenter1012szamsterdamnetherlands,"1,220 reviews",Good 
142,5,nieuwedoelenstraat214amsterdamcitycenter1012cpamsterdamnetherlands,362 reviews,Wonderful 
143,5,prinshendrikkade5972amsterdamcitycenter1012adamsterdamnetherlands,"3,638 reviews",Very Good 
144,5,prinsengracht323amsterdamcitycenter1016gzamsterdamnetherlands,969 reviews,Excellent 
145,5,keizersgracht384amsterdamcitycenter1016gbamsterdamnetherlands,282 reviews,Wonderful 
146,5,oudeschans75amsterdamcitycenter1011kwamsterdamnetherlands,283 reviews,Excellent 
147,5,prinshendrikkade108amsterdamcitycenter1011akamsterdamnetherlands,"2,431 reviews",Good 
148,5,prinsengracht587amsterdamcitycenter1067htamsterdamnetherlands,694 reviews,Excellent 
149,5,herengracht542556amsterdamcitycenter1017cgamsterdamnetherlands,203 reviews,Exceptional 
150,5,717prinsengrachtgroundflooramsterdamcitycenter1017jwamsterdamnetherlands,135 reviews,Wonderful 
151,5,stadhouderskade12oudwest1054esamsterdamnetherlands,"1,043 reviews",Very Good 
152,5,professortulpplein1amsterdamcitycenter1018gxamsterdamnetherlands,194 reviews,Excellent 
154,5,pauluspotterstraat50citycentreoudzuid1071dbamsterdamnetherlands,336 reviews,Excellent 
155,5,61mauritskadeoost1092adamsterdamnetherlands,2 reviews,Exceptional 
156,5,amsteldijk67oudzuid1074hzamsterdamnetherlands,"3,664 reviews",Excellent 
157,5,ferdinandbolstraat333oudzuid1072lhamsterdamnetherlands,864 reviews,Excellent 
158,5,dijsselhofplantsoen7oudzuid1077bjamsterdamnetherlands,"1,065 reviews",Good 
159,5,apollolaan138oudzuid1077bgamsterdamnetherlands,655 reviews,Very Good 
160,5,ndsmplein78amsterdamnoord1033wbamsterdamnetherlands,24 reviews,Very Good 
