,hotel_star,hotel_address,reviews_count,quality
85,4,lindengasse1207neubau1070viennaaustria,970 reviews,Excellent 
86,4,windmhlgasse2806mariahilf1060viennaaustria,"1,841 reviews",Wonderful 
87,4,alserstrae2108josefstadt1080viennaaustria,"1,482 reviews",Pleasant 
89,4,mariahilferstrae575906mariahilf1060viennaaustria,880 reviews,Very Good 
90,4,whringerstrae333509alsergrund1090viennaaustria,"3,237 reviews",Very Good 
91,4,pasteurgasse109alsergrund1090viennaaustria,"1,719 reviews",Good 
92,4,mariahilferstrae5807neubau1070viennaaustria,"1,086 reviews",Wonderful 
93,4,messenhausergasse03landstrae1030viennaaustria,,
94,4,boltzmanngasse809alsergrund1090viennaaustria,"1,006 reviews",Good 
95,4,47nordbahnstrae02leopoldstadt1020viennaaustria,"4,539 reviews",Excellent 
96,4,neustiftgasse6607neubau1070viennaaustria,158 reviews,Excellent 
97,4,mariahilferstrae71a06mariahilf1060viennaaustria,"1,023 reviews",Wonderful 
98,4,landstraerhauptstrae12003landstrae1030viennaaustria,"1,747 reviews",Excellent 
99,4,schnbrunnerstrae4105margareten1050viennaaustria,"2,858 reviews",Very Good 
100,4,rothschildplatz202leopoldstadt1020viennaaustria,"2,077 reviews",Very Good 
101,4,rechtewienzeile8705margareten1050viennaaustria,476 reviews,Wonderful 
102,4,esterhzygasse3306mariahilf1060viennaaustria,709 reviews,Wonderful 
104,4,mariahilferstrae7807neubau1070viennaaustria,"1,625 reviews",Excellent 
105,4,althanstrae509alsergrund1090viennaaustria,"1,145 reviews",Good 
106,4,1andreasgasse07neubau1070viennaaustria,27 reviews,Pleasant 
107,4,landstraergrtel503landstrae1030viennaaustria,"3,510 reviews",Very Good 
108,4,schottenfeldgasse7407neubau1070viennaaustria,"2,258 reviews",Excellent 
109,4,wiednergrtel1404wieden1040viennaaustria,"1,692 reviews",Good 
110,4,73gumpendorferstrae06mariahilf1060viennaaustria,662 reviews,Very Good 
111,4,6perspektivstrae02leopoldstadt1020viennaaustria,"2,831 reviews",Wonderful 
112,4,sonnenhofgasse81005margareten1050viennaaustria,"2,647 reviews",Very Good 
113,4,turmburggasse406mariahilf1060viennaaustria,194 reviews,Exceptional 
114,4,maxwinterplatz502leopoldstadt1020viennaaustria,"1,925 reviews",Very Good 
115,4,margaretenstrae9205margareten1050viennaaustria,"1,478 reviews",Very Good 
116,4,89liechtensteinstrae09alsergrund1090viennaaustria,"4,038 reviews",Excellent 
117,4,halbgasse3507neubau1070viennaaustria,"4,285 reviews",Excellent 
118,4,karlpopperstrae6ambelvedere510favoriten1100viennaaustria,"2,474 reviews",Excellent 
119,4,messestrae202leopoldstadt1020viennaaustria,"2,986 reviews",Wonderful 
120,4,canettistrasse610favoriten1100viennaaustria,"3,528 reviews",Excellent 
121,4,webgasse2606mariahilf1060viennaaustria,"2,271 reviews",Excellent 
122,4,webgasse2306mariahilf1060viennaaustria,"2,995 reviews",Very Good 
123,4,canettistrae310favoriten1100viennaaustria,"2,120 reviews",Wonderful 
